"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Jain","2022/23","Sheffield Shield","Queensland",4,76,173,43.9306358381503,25.3333333333333,6,0,1,0,0,44
"A Pyecroft","2018/19","Sheffield Shield","Tasmania",3,15,42,35.7142857142857,5,1,0,0,0,0,12
"A Pyecroft","2019/20","Marsh Sheffield Shield","Tasmania",2,6,23,26.0869565217391,3,1,0,0,0,0,4
"A Zampa","2016/17","Sheffield Shield","South Australia",1,31,52,59.6153846153846,31,2,0,0,0,0,31
"A Zampa","2017/18","Sheffield Shield","South Australia",6,107,172,62.2093023255814,21.4,8,2,1,0,1,57
"A Zampa","2022/23","Sheffield Shield","New South Wales",3,44,68,64.7058823529412,44,3,1,2,0,0,24
"AA Bevilaqua","2017/18","Sheffield Shield","Western Australia",4,57,42,135.714285714286,19,5,3,1,0,0,36
"AB Holder","2017/18","Sheffield Shield","Western Australia",2,10,35,28.5714285714286,10,1,0,1,0,0,8
"AC Agar","2017/18","Sheffield Shield","Western Australia",2,106,169,62.7218934911243,53,13,0,0,0,1,86
"AC Agar","2019/20","Marsh Sheffield Shield","Western Australia",1,4,5,80,4,1,0,0,0,0,4
"AC Agar","2020/21","Sheffield Shield","Western Australia",6,162,292,55.4794520547945,32.4,22,0,1,1,0,114
"AC Agar","2022/23","Sheffield Shield","Western Australia",1,72,118,61.0169491525424,72,5,3,0,0,1,72
"ACI Lovell","2023/24","Sheffield Shield","Queensland",8,116,225,51.5555555555556,14.5,18,0,0,0,0,45
"AI Ross","2017/18","Sheffield Shield","South Australia",2,14,31,45.1612903225806,7,2,0,0,0,0,10
"AJ Doolan","2017/18","Sheffield Shield","Tasmania",6,352,536,65.6716417910448,88,40,5,2,1,1,247
"AJ Doolan","2018/19","Sheffield Shield","Tasmania",14,662,1437,46.0681976339596,47.2857142857143,82,4,0,1,5,115
"AJ Doolan","2019/20","Marsh Sheffield Shield","Tasmania",10,199,478,41.6317991631799,19.9,24,1,0,0,1,58
"AJ Doolan","2020/21","Sheffield Shield","Tasmania",5,69,220,31.3636363636364,13.8,8,0,0,0,0,29
"AJ Finch","2016/17","Sheffield Shield","Victoria",2,121,201,60.1990049751244,60.5,12,3,0,0,1,83
"AJ Finch","2017/18","Sheffield Shield","Victoria",2,3,19,15.7894736842105,1.5,0,0,0,0,0,3
"AJ Finch","2018/19","Sheffield Shield","Victoria",2,51,91,56.043956043956,25.5,9,0,0,0,1,50
"AJ Finch","2019/20","Marsh Sheffield Shield","Victoria",3,104,164,63.4146341463415,34.6666666666667,9,4,0,0,1,57
"AJ Nair","2021/22","Sheffield Shield","New South Wales",1,0,10,0,0,0,0,0,0,0,0
"AJ Turner","2017/18","Sheffield Shield","Western Australia",6,248,389,63.7532133676093,41.3333333333333,36,0,0,0,2,81
"AJ Turner","2018/19","Sheffield Shield","Western Australia",2,8,12,66.6666666666667,4,0,0,0,0,0,5
"AJ Turner","2020/21","Sheffield Shield","Western Australia",2,10,44,22.7272727272727,5,1,0,0,0,0,6
"AJ Turner","2022/23","Sheffield Shield","Western Australia",3,175,378,46.2962962962963,58.3333333333333,16,1,0,1,0,128
"AJ Turner","2023/24","Sheffield Shield","Western Australia",6,184,248,74.1935483870968,36.8,12,6,1,0,2,82
"AL Fekete","2017/18","Sheffield Shield","Tasmania",2,26,54,48.1481481481481,Inf,3,1,2,0,0,25
"AL Fekete","2018/19","Sheffield Shield","Victoria",2,6,29,20.6896551724138,6,1,0,1,0,0,5
"AL Fekete","2019/20","Marsh Sheffield Shield","Victoria",1,4,6,66.6666666666667,Inf,1,0,1,0,0,4
"AM Hardie","2018/19","Sheffield Shield","Western Australia",2,31,53,58.4905660377358,15.5,5,0,0,0,0,30
"AM Hardie","2019/20","Marsh Sheffield Shield","Western Australia",4,146,286,51.048951048951,48.6666666666667,19,1,1,1,0,100
"AM Hardie","2020/21","Sheffield Shield","Western Australia",2,31,71,43.6619718309859,15.5,4,0,0,0,0,26
"AM Hardie","2021/22","Sheffield Shield","Western Australia",5,238,473,50.3171247357294,119,34,1,3,1,0,174
"AM Hardie","2022/23","Sheffield Shield","Western Australia",15,378,705,53.6170212765957,29.0769230769231,56,2,2,0,2,70
"AM Hardie","2023/24","Sheffield Shield","Western Australia",11,377,643,58.6314152410575,34.2727272727273,49,1,0,0,2,99
"AP Chandrasinghe","2022/23","Sheffield Shield","Victoria",16,325,1302,24.9615975422427,23.2142857142857,35,0,2,1,1,119
"AT Carey","2016/17","Sheffield Shield","South Australia",2,102,115,88.695652173913,51,6,3,0,0,1,57
"AT Carey","2017/18","Sheffield Shield","South Australia",8,315,502,62.7490039840637,45,38,2,1,1,1,139
"AT Carey","2019/20","Marsh Sheffield Shield","South Australia",5,230,310,74.1935483870968,46,39,1,0,1,1,117
"AT Carey","2020/21","Sheffield Shield","South Australia",4,193,316,61.0759493670886,48.25,21,1,0,1,0,125
"AT Carey","2021/22","Sheffield Shield","South Australia",8,172,274,62.7737226277372,24.5714285714286,14,1,1,0,1,66
"AT Carey","2022/23","Sheffield Shield","South Australia",5,178,271,65.6826568265683,35.6,17,1,0,0,2,70
"AT Carey","2023/24","Sheffield Shield","South Australia",4,221,299,73.9130434782609,55.25,28,1,0,0,2,90
"B Doggett","2017/18","Sheffield Shield","Queensland",4,21,78,26.9230769230769,5.25,4,0,0,0,0,15
"B Doggett","2019/20","Marsh Sheffield Shield","Queensland",2,12,25,48,6,2,0,0,0,0,12
"B Doggett","2020/21","Sheffield Shield","Queensland",3,6,31,19.3548387096774,Inf,1,0,3,0,0,4
"B Doggett","2021/22","Sheffield Shield","South Australia",4,22,28,78.5714285714286,7.33333333333333,2,0,1,0,0,10
"B Doggett","2022/23","Sheffield Shield","South Australia",8,87,171,50.8771929824561,14.5,9,0,2,0,0,49
"B Doggett","2023/24","Sheffield Shield","South Australia",12,41,136,30.1470588235294,4.55555555555556,4,0,3,0,0,12
"B Nikitaras","2021/22","Sheffield Shield","New South Wales",2,100,192,52.0833333333333,50,14,3,0,0,1,56
"B Nikitaras","2022/23","Sheffield Shield","New South Wales",13,240,604,39.7350993377483,18.4615384615385,21,3,0,0,0,46
"B Nikitaras","2023/24","Sheffield Shield","New South Wales",9,177,468,37.8205128205128,19.6666666666667,19,2,0,0,1,56
"B Stanlake","2018/19","Sheffield Shield","Queensland",4,4,30,13.3333333333333,2,1,0,2,0,0,4
"B Stanlake","2019/20","Marsh Sheffield Shield","Queensland",4,0,29,0,0,0,0,1,0,0,0
"B Stanlake","2023/24","Sheffield Shield","Tasmania",1,0,1,0,NA,0,0,1,0,0,0
"BAD Manenti","2021/22","Sheffield Shield","Tasmania",2,42,75,56,42,6,1,1,0,0,23
"BAD Manenti","2022/23","Sheffield Shield","South Australia",15,478,629,75.9936406995231,34.1428571428571,59,8,1,0,4,88
"BAD Manenti","2023/24","Sheffield Shield","South Australia",19,609,790,77.0886075949367,38.0625,71,10,3,0,5,86
"BD Macdonald","2022/23","Sheffield Shield","New South Wales",2,82,156,52.5641025641026,41,10,0,0,0,1,61
"BD Macdonald","2023/24","Sheffield Shield","New South Wales",5,55,182,30.2197802197802,11,7,0,0,0,0,22
"BE Street","2019/20","Marsh Sheffield Shield","Queensland",11,385,1218,31.6091954022989,38.5,48,0,1,2,1,115
"BE Street","2020/21","Sheffield Shield","Queensland",10,391,1277,30.61863743148,39.1,44,0,0,1,2,117
"BE Street","2021/22","Sheffield Shield","Queensland",13,377,1074,35.1024208566108,29,39,3,0,1,1,143
"BE Street","2022/23","Sheffield Shield","Queensland",11,336,1032,32.5581395348837,33.6,37,0,1,1,1,102
"BE Street","2023/24","Sheffield Shield","Queensland",13,238,782,30.4347826086957,18.3076923076923,24,1,0,0,1,56
"BJ Dwarshuis","2022/23","Sheffield Shield","New South Wales",9,183,345,53.0434782608696,30.5,21,1,3,0,1,60
"BJ Dwarshuis","2023/24","Sheffield Shield","New South Wales",4,37,121,30.5785123966942,9.25,3,0,0,0,0,21
"BJ Holt","2018/19","Sheffield Shield","New South Wales",1,25,72,34.7222222222222,25,2,0,0,0,0,25
"BJ Holt","2020/21","Sheffield Shield","New South Wales",4,64,191,33.5078534031414,21.3333333333333,9,0,1,0,0,29
"BJ Holt","2021/22","Sheffield Shield","New South Wales",5,44,124,35.4838709677419,8.8,7,0,0,0,0,20
"BJ Holt","2022/23","Sheffield Shield","New South Wales",11,230,376,61.1702127659574,28.75,21,5,3,0,1,54
"BJ Webster","2017/18","Sheffield Shield","Tasmania",4,157,446,35.2017937219731,52.3333333333333,13,0,1,1,0,136
"BJ Webster","2018/19","Sheffield Shield","Tasmania",6,169,440,38.4090909090909,33.8,12,0,1,0,1,80
"BJ Webster","2019/20","Marsh Sheffield Shield","Tasmania",7,381,509,74.852652259332,63.5,42,7,1,1,2,187
"BJ Webster","2020/21","Sheffield Shield","Tasmania",14,404,646,62.5386996904025,31.0769230769231,43,3,1,1,1,135
"BJ Webster","2021/22","Sheffield Shield","Tasmania",7,297,381,77.9527559055118,59.4,38,6,2,1,1,166
"BJ Webster","2022/23","Sheffield Shield","Tasmania",16,596,1085,54.9308755760369,42.5714285714286,74,0,2,1,2,168
"BJ Webster","2023/24","Sheffield Shield","Tasmania",19,938,1650,56.8484848484849,58.625,115,10,3,3,6,167
"BL Couch","2021/22","Sheffield Shield","Victoria",1,1,4,25,1,0,0,0,0,0,1
"BL Edwards","2019/20","Marsh Sheffield Shield","Queensland",2,9,36,25,4.5,1,0,0,0,0,8
"BL Edwards","2021/22","Sheffield Shield","Queensland",3,1,18,5.55555555555556,Inf,0,0,3,0,0,1
"BM Hope","2021/22","Sheffield Shield","Tasmania",1,2,11,18.1818181818182,2,0,0,0,0,0,2
"BM Hope","2023/24","Sheffield Shield","Tasmania",19,490,790,62.0253164556962,32.6666666666667,68,6,4,1,2,132
"BR Davis","2018/19","Sheffield Shield","South Australia",2,75,183,40.9836065573771,37.5,11,0,0,0,1,52
"BR Davis","2020/21","Sheffield Shield","South Australia",6,105,310,33.8709677419355,17.5,11,0,0,0,1,57
"BR McDermott","2017/18","Sheffield Shield","Tasmania",3,92,181,50.828729281768,46,8,3,1,0,1,75
"BR McDermott","2018/19","Sheffield Shield","Tasmania",8,211,441,47.8458049886621,35.1666666666667,28,3,2,0,3,69
"BR McDermott","2019/20","Marsh Sheffield Shield","Tasmania",9,363,959,37.851929092805,40.3333333333333,45,0,0,0,3,89
"BR McDermott","2020/21","Sheffield Shield","Tasmania",7,355,838,42.36276849642,59.1666666666667,31,10,1,0,4,90
"BR McDermott","2021/22","Sheffield Shield","Tasmania",7,299,720,41.5277777777778,49.8333333333333,32,4,1,0,2,94
