"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RS Bopara",2016-02-12,"Lahore Qalandars","Karachi Kings",2,"4.0",0,16,6,4,13,"Pakistan Super League","2015/16",959197,"Sharjah Cricket Stadium",NA,"Karachi Kings","Lahore Qalandars","Lahore Qalandars","field","RS Bopara","Karachi Kings",NA,"27"
"Faheem Ashraf",2019-03-09,"Lahore Qalandars","Islamabad United",2,"4.0",0,19,6,4.75,14,"Pakistan Super League","2018/19",1168847,"National Stadium","Karachi","Lahore Qalandars","Islamabad United","Lahore Qalandars","field","CS Delport","Islamabad United",NA,"49"
"Umar Gul",2018-03-07,"Quetta Gladiators","Multan Sultans",2,"4.0",0,24,6,6,13,"Pakistan Super League","2017/18",1128834,"Dubai International Cricket Stadium","Dubai","Multan Sultans","Quetta Gladiators","Quetta Gladiators","field","Umar Gul","Quetta Gladiators","2",NA
"Usama Mir",2024-02-27,"Lahore Qalandars","Multan Sultans",2,"4.0",0,40,6,10,9,"Pakistan Super League","2023/24",1416485,"Gaddafi Stadium, Lahore","Lahore","Multan Sultans","Lahore Qalandars","Multan Sultans","bat","Usman Khan","Multan Sultans",NA,"60"
"Shaheen Shah Afridi",2018-03-09,"Multan Sultans","Lahore Qalandars",1,"3.4",1,4,5,1.09090909090909,18,"Pakistan Super League","2017/18",1128837,"Dubai International Cricket Stadium","Dubai","Multan Sultans","Lahore Qalandars","Multan Sultans","bat","Shaheen Shah Afridi","Lahore Qalandars","6",NA
"Shahid Afridi",2016-02-14,"Quetta Gladiators","Peshawar Zalmi",1,"4.0",1,7,5,1.75,18,"Pakistan Super League","2015/16",959207,"Sharjah Cricket Stadium",NA,"Quetta Gladiators","Peshawar Zalmi","Quetta Gladiators","bat","Shahid Afridi","Peshawar Zalmi","8",NA
"Mohammad Sami",2016-02-20,"Karachi Kings","Islamabad United",1,"4.0",0,8,5,2,16,"Pakistan Super League","2015/16",959217,"Dubai International Cricket Stadium",NA,"Karachi Kings","Islamabad United","Islamabad United","field","Mohammad Sami","Islamabad United","9",NA
"Ihsanullah",2023-02-15,"Quetta Gladiators","Multan Sultans",1,"4.0",1,12,5,3,16,"Pakistan Super League","2022/23",1354926,"Multan Cricket Stadium","Multan","Quetta Gladiators","Multan Sultans","Multan Sultans","field","Ihsanullah","Multan Sultans","9",NA
"Naseem Shah",2022-01-29,"Karachi Kings","Quetta Gladiators",1,"3.3",0,20,5,5.71428571428571,13,"Pakistan Super League","2021/22",1293003,"National Stadium, Karachi","Karachi","Karachi Kings","Quetta Gladiators","Quetta Gladiators","field","Naseem Shah","Quetta Gladiators","8",NA
"Rashid Khan",2021-06-10,"Peshawar Zalmi","Lahore Qalandars",2,"4.0",1,20,5,5,16,"Pakistan Super League","2021",1247026,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Lahore Qalandars","Peshawar Zalmi","Peshawar Zalmi","field","Rashid Khan","Lahore Qalandars",NA,"10"
"Imad Wasim",2024-03-18,"Multan Sultans","Islamabad United",1,"4.0",0,23,5,5.75,14,"Pakistan Super League","2023/24",1416505,"National Stadium, Karachi","Karachi","Multan Sultans","Islamabad United","Multan Sultans","bat","Imad Wasim","Islamabad United","2",NA
"Arif Yaqoob",2024-02-26,"Islamabad United","Peshawar Zalmi",2,"4.0",0,27,5,6.75,9,"Pakistan Super League","2023/24",1416484,"Gaddafi Stadium, Lahore","Lahore","Peshawar Zalmi","Islamabad United","Islamabad United","field","Babar Azam","Peshawar Zalmi",NA,"8"
"Shadab Khan",2022-02-03,"Quetta Gladiators","Islamabad United",2,"4.0",0,28,5,7,10,"Pakistan Super League","2021/22",1293009,"National Stadium, Karachi","Karachi","Islamabad United","Quetta Gladiators","Quetta Gladiators","field","C Munro","Islamabad United",NA,"43"
"Shaheen Shah Afridi",2023-02-26,"Peshawar Zalmi","Lahore Qalandars",2,"4.0",0,40,5,10,9,"Pakistan Super League","2022/23",1354938,"Gaddafi Stadium, Lahore","Lahore","Lahore Qalandars","Peshawar Zalmi","Lahore Qalandars","bat","Fakhar Zaman","Lahore Qalandars",NA,"40"
"Abbas Afridi",2023-03-11,"Quetta Gladiators","Multan Sultans",2,"4.0",0,47,5,11.75,8,"Pakistan Super League","2022/23",1354951,"Rawalpindi Cricket Stadium","Rawalpindi","Multan Sultans","Quetta Gladiators","Quetta Gladiators","field","Abbas Afridi","Multan Sultans",NA,"9"
"Shahnawaz Dhani",2021-06-18,"Lahore Qalandars","Multan Sultans",2,"3.1",1,5,4,1.57894736842105,14,"Pakistan Super League","2021",1247038,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Multan Sultans","Lahore Qalandars","Lahore Qalandars","field","Shahnawaz Dhani","Multan Sultans",NA,"80"
"SR Patel",2020-03-07,"Quetta Gladiators","Lahore Qalandars",1,"4.0",1,5,4,1.25,19,"Pakistan Super League","2019/20",1211662,"Gaddafi Stadium","Lahore","Lahore Qalandars","Quetta Gladiators","Lahore Qalandars","field","SR Patel","Lahore Qalandars","8",NA
"Yasir Shah",2017-02-12,"Peshawar Zalmi","Lahore Qalandars",2,"4.0",0,7,4,1.75,18,"Pakistan Super League","2016/17",1075991,"Dubai International Cricket Stadium",NA,"Lahore Qalandars","Peshawar Zalmi","Peshawar Zalmi","field","Yasir Shah","Peshawar Zalmi","3",NA
"S Lamichhane",2019-02-27,"Quetta Gladiators","Lahore Qalandars",1,"4.0",0,10,4,2.5,15,"Pakistan Super League","2018/19",1168836,"Dubai International Cricket Stadium","Dubai","Lahore Qalandars","Quetta Gladiators","Lahore Qalandars","field",NA,"Lahore Qalandars","8",NA
"Mohammad Nawaz (3)",2016-02-04,"Islamabad United","Quetta Gladiators",1,"4.0",0,13,4,3.25,12,"Pakistan Super League","2015/16",959175,"Dubai International Cricket Stadium",NA,"Islamabad United","Quetta Gladiators","Quetta Gladiators","field","Mohammad Nawaz (3)","Quetta Gladiators","8",NA
"Sohail Tanvir",2020-02-26,"Peshawar Zalmi","Multan Sultans",1,"3.3",1,13,4,3.71428571428571,16,"Pakistan Super League","2019/20",1211649,"Multan Cricket Stadium","Multan","Multan Sultans","Peshawar Zalmi","Multan Sultans","field","Sohail Tanvir","Multan Sultans","6",NA
"Zafar Gohar",2016-02-08,"Quetta Gladiators","Lahore Qalandars",2,"3.2",0,14,4,4.2,10,"Pakistan Super League","2015/16",959189,"Dubai International Cricket Stadium",NA,"Lahore Qalandars","Quetta Gladiators","Quetta Gladiators","field","Umar Akmal","Lahore Qalandars",NA,"63"
"GD Elliott",2016-02-13,"Karachi Kings","Quetta Gladiators",1,"4.0",0,15,4,3.75,10,"Pakistan Super League","2015/16",959201,"Sharjah Cricket Stadium",NA,"Karachi Kings","Quetta Gladiators","Karachi Kings","bat","GD Elliott","Quetta Gladiators","5",NA
"Hasan Ali",2019-02-17,"Lahore Qalandars","Peshawar Zalmi",1,"4.0",0,15,4,3.75,15,"Pakistan Super League","2018/19",1168826,"Dubai International Cricket Stadium","Dubai","Lahore Qalandars","Peshawar Zalmi","Peshawar Zalmi","field","Hasan Ali","Peshawar Zalmi","7",NA
"Hasan Ali",2019-02-21,"Karachi Kings","Peshawar Zalmi",2,"4.0",0,15,4,3.75,13,"Pakistan Super League","2018/19",1168828,"Sharjah Cricket Stadium","Sharjah","Karachi Kings","Peshawar Zalmi","Karachi Kings","field","Imam-ul-Haq","Peshawar Zalmi",NA,"44"
"Hasan Ali",2024-03-06,"Quetta Gladiators","Karachi Kings",1,"4.0",0,15,4,3.75,14,"Pakistan Super League","2023/24",1416493,"Rawalpindi Cricket Stadium","Rawalpindi","Quetta Gladiators","Karachi Kings","Karachi Kings","field","Hasan Ali","Karachi Kings","7",NA
"Shadab Khan",2022-02-06,"Karachi Kings","Islamabad United",2,"4.0",0,15,4,3.75,16,"Pakistan Super League","2021/22",1293013,"National Stadium, Karachi","Karachi","Islamabad United","Karachi Kings","Islamabad United","bat","Shadab Khan","Islamabad United",NA,"42"
"Usman Shinwari",2019-03-04,"Multan Sultans","Karachi Kings",1,"4.0",0,15,4,3.75,13,"Pakistan Super League","2018/19",1168843,"Sheikh Zayed Stadium","Abu Dhabi","Karachi Kings","Multan Sultans","Karachi Kings","field","Usman Shinwari","Karachi Kings","5",NA
"Rahat Ali",2018-03-20,"Peshawar Zalmi","Quetta Gladiators",1,"4.0",0,16,4,4,14,"Pakistan Super League","2017/18",1128849,"Gaddafi Stadium","Lahore","Peshawar Zalmi","Quetta Gladiators","Quetta Gladiators","field","Hasan Ali","Peshawar Zalmi",NA,"1"
"Zaman Khan",2022-02-18,"Karachi Kings","Lahore Qalandars",1,"3.5",1,16,4,4.17391304347826,14,"Pakistan Super League","2021/22",1293025,"Gaddafi Stadium, Lahore","Lahore","Karachi Kings","Lahore Qalandars","Karachi Kings","bat","Mir Hamza","Karachi Kings",NA,"22"
"Hasan Ali",2019-02-24,"Multan Sultans","Peshawar Zalmi",1,"4.0",0,17,4,4.25,11,"Pakistan Super League","2018/19",1168833,"Sharjah Cricket Stadium","Sharjah","Multan Sultans","Peshawar Zalmi","Peshawar Zalmi","field","Hasan Ali","Peshawar Zalmi","5",NA
"Rashid Khan",2022-02-18,"Karachi Kings","Lahore Qalandars",1,"4.0",0,17,4,4.25,14,"Pakistan Super League","2021/22",1293025,"Gaddafi Stadium, Lahore","Lahore","Karachi Kings","Lahore Qalandars","Karachi Kings","bat","Mir Hamza","Karachi Kings",NA,"22"
"Usman Shinwari",2018-03-16,"Islamabad United","Karachi Kings",1,"4.0",0,17,4,4.25,14,"Pakistan Super League","2017/18",1128847,"Sharjah Cricket Stadium","Sharjah","Islamabad United","Karachi Kings","Karachi Kings","field","Usman Shinwari","Karachi Kings","7",NA
"Wahab Riaz",2021-02-27,"Islamabad United","Peshawar Zalmi",1,"4.0",0,17,4,4.25,14,"Pakistan Super League","2020/21",1247020,"National Stadium","Karachi","Islamabad United","Peshawar Zalmi","Peshawar Zalmi","field","Wahab Riaz","Peshawar Zalmi","6",NA
"Faheem Ashraf",2019-03-05,"Quetta Gladiators","Islamabad United",1,"3.0",0,18,4,6,11,"Pakistan Super League","2018/19",1168845,"Sheikh Zayed Stadium","Abu Dhabi","Islamabad United","Quetta Gladiators","Islamabad United","field","Ahmed Shehzad","Quetta Gladiators",NA,"43"
"Shaheen Shah Afridi",2020-02-23,"Islamabad United","Lahore Qalandars",2,"4.0",0,18,4,4.5,15,"Pakistan Super League","2019/20",1211648,"Gaddafi Stadium","Lahore","Lahore Qalandars","Islamabad United","Islamabad United","field","Shadab Khan","Islamabad United","1",NA
"Imran Khalid",2016-02-21,"Peshawar Zalmi","Islamabad United",2,"3.0",0,20,4,6.66666666666667,9,"Pakistan Super League","2015/16",959219,"Dubai International Cricket Stadium",NA,"Islamabad United","Peshawar Zalmi","Peshawar Zalmi","field","Sharjeel Khan","Islamabad United",NA,"50"
"Shadab Khan",2022-02-05,"Lahore Qalandars","Islamabad United",1,"4.0",0,20,4,5,12,"Pakistan Super League","2021/22",1293011,"National Stadium, Karachi","Karachi","Lahore Qalandars","Islamabad United","Islamabad United","field","Zaman Khan","Lahore Qalandars",NA,"8"
"Rashid Khan",2023-03-09,"Islamabad United","Lahore Qalandars",2,"4.0",0,21,4,5.25,11,"Pakistan Super League","2022/23",1354949,"Rawalpindi Cricket Stadium","Rawalpindi","Lahore Qalandars","Islamabad United","Lahore Qalandars","bat","Fakhar Zaman","Lahore Qalandars",NA,"119"
"Sohail Tanvir",2019-02-17,"Islamabad United","Quetta Gladiators",1,"4.0",1,21,4,5.25,14,"Pakistan Super League","2018/19",1168825,"Dubai International Cricket Stadium","Dubai","Islamabad United","Quetta Gladiators","Quetta Gladiators","field","SR Watson","Quetta Gladiators","7",NA
"Abbas Afridi",2023-02-19,"Islamabad United","Multan Sultans",2,"3.0",0,22,4,7.33333333333333,5,"Pakistan Super League","2022/23",1354930,"Multan Cricket Stadium","Multan","Multan Sultans","Islamabad United","Islamabad United","field","Abbas Afridi","Multan Sultans",NA,"52"
"Khurram Shahzad",2022-02-20,"Karachi Kings","Quetta Gladiators",2,"4.0",0,22,4,5.5,15,"Pakistan Super League","2021/22",1293027,"Gaddafi Stadium, Lahore","Lahore","Quetta Gladiators","Karachi Kings","Quetta Gladiators","bat","Khurram Shahzad","Quetta Gladiators",NA,"23"
"AJ Hosein",2024-03-08,"Peshawar Zalmi","Quetta Gladiators",1,"4.0",0,23,4,5.75,9,"Pakistan Super League","2023/24",1416496,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Quetta Gladiators","Quetta Gladiators","field","Saim Ayub","Peshawar Zalmi",NA,"76"
"GD Elliott",2017-02-11,"Islamabad United","Lahore Qalandars",1,"3.0",0,23,4,7.66666666666667,6,"Pakistan Super League","2016/17",1075989,"Dubai International Cricket Stadium",NA,"Islamabad United","Lahore Qalandars","Lahore Qalandars","field","JJ Roy","Lahore Qalandars","6",NA
"Haris Rauf",2019-02-16,"Karachi Kings","Lahore Qalandars",2,"4.0",0,23,4,5.75,7,"Pakistan Super League","2018/19",1168824,"Dubai International Cricket Stadium","Dubai","Karachi Kings","Lahore Qalandars","Karachi Kings","field","Haris Rauf","Lahore Qalandars",NA,"22"
"Umaid Asif",2018-02-24,"Islamabad United","Peshawar Zalmi",2,"4.0",0,23,4,5.75,10,"Pakistan Super League","2017/18",1128821,"Dubai International Cricket Stadium","Dubai","Islamabad United","Peshawar Zalmi","Islamabad United","field","Umaid Asif","Peshawar Zalmi",NA,"34"
"Dilbar Hussain",2020-02-28,"Peshawar Zalmi","Lahore Qalandars",1,"3.0",0,24,4,8,7,"Pakistan Super League","2019/20",1211652,"Rawalpindi Cricket Stadium","Rawalpindi","Lahore Qalandars","Peshawar Zalmi","Lahore Qalandars","field","L Gregory","Peshawar Zalmi",NA,"16"
"L Gregory",2020-02-28,"Lahore Qalandars","Peshawar Zalmi",2,"3.0",0,25,4,8.33333333333333,7,"Pakistan Super League","2019/20",1211652,"Rawalpindi Cricket Stadium","Rawalpindi","Lahore Qalandars","Peshawar Zalmi","Lahore Qalandars","field","L Gregory","Peshawar Zalmi",NA,"16"
"Mohammad Amir",2019-02-15,"Multan Sultans","Karachi Kings",2,"4.0",0,25,4,6.25,12,"Pakistan Super League","2018/19",1168821,"Dubai International Cricket Stadium","Dubai","Karachi Kings","Multan Sultans","Karachi Kings","bat","LS Livingstone","Karachi Kings",NA,"7"
"Mohammad Amir",2020-03-02,"Peshawar Zalmi","Karachi Kings",1,"4.0",0,25,4,6.25,13,"Pakistan Super League","2019/20",1211656,"Rawalpindi Cricket Stadium","Rawalpindi","Karachi Kings","Peshawar Zalmi","Karachi Kings","field","Mohammad Amir","Karachi Kings","6",NA
"Mohammad Hasnain",2020-02-20,"Islamabad United","Quetta Gladiators",1,"4.0",0,25,4,6.25,13,"Pakistan Super League","2019/20",1211642,"National Stadium","Karachi","Islamabad United","Quetta Gladiators","Quetta Gladiators","field","Mohammad Hasnain","Quetta Gladiators","3",NA
"Rumman Raees",2017-03-01,"Karachi Kings","Islamabad United",1,"4.0",0,25,4,6.25,13,"Pakistan Super League","2016/17",1076007,"Sharjah Cricket Stadium","Sharjah","Karachi Kings","Islamabad United","Islamabad United","field","Imad Wasim","Karachi Kings",NA,"44"
"Mohammad Amir",2023-03-01,"Peshawar Zalmi","Karachi Kings",1,"4.0",0,26,4,6.5,13,"Pakistan Super League","2022/23",1354940,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Karachi Kings","Karachi Kings","field","R Powell","Peshawar Zalmi",NA,"24"
"Amad Butt",2020-02-22,"Multan Sultans","Islamabad United",1,"4.0",0,27,4,6.75,8,"Pakistan Super League","2019/20",1211646,"Gaddafi Stadium","Lahore","Islamabad United","Multan Sultans","Islamabad United","field","L Ronchi","Islamabad United","8",NA
"Mir Hamza",2022-02-18,"Lahore Qalandars","Karachi Kings",2,"4.0",0,27,4,6.75,14,"Pakistan Super League","2021/22",1293025,"Gaddafi Stadium, Lahore","Lahore","Karachi Kings","Lahore Qalandars","Karachi Kings","bat","Mir Hamza","Karachi Kings",NA,"22"
"Naseem Shah",2022-02-15,"Peshawar Zalmi","Quetta Gladiators",1,"4.0",0,27,4,6.75,10,"Pakistan Super League","2021/22",1293021,"Gaddafi Stadium, Lahore","Lahore","Peshawar Zalmi","Quetta Gladiators","Peshawar Zalmi","bat","Hussain Talat","Peshawar Zalmi",NA,"24"
"Akif Javed",2023-02-19,"Lahore Qalandars","Karachi Kings",2,"3.3",0,28,4,8,10,"Pakistan Super League","2022/23",1354931,"National Stadium, Karachi","Karachi","Karachi Kings","Lahore Qalandars","Lahore Qalandars","field","Imad Wasim","Karachi Kings",NA,"67"
"Arish Ali",2021-06-19,"Karachi Kings","Quetta Gladiators",1,"4.0",0,28,4,7,13,"Pakistan Super League","2021",1247039,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Karachi Kings","Quetta Gladiators","Karachi Kings","bat","Danish Aziz","Karachi Kings",NA,"14"
"Rahat Ali",2019-02-14,"Islamabad United","Lahore Qalandars",2,"4.0",0,29,4,7.25,14,"Pakistan Super League","2018/19",1168820,"Dubai International Cricket Stadium","Dubai","Islamabad United","Lahore Qalandars","Islamabad United","field","Faheem Ashraf","Islamabad United","5",NA
"Salman Irshad",2020-03-03,"Quetta Gladiators","Lahore Qalandars",2,"4.0",0,30,4,7.5,14,"Pakistan Super League","2019/20",1211657,"Gaddafi Stadium","Lahore","Lahore Qalandars","Quetta Gladiators","Quetta Gladiators","field","BR Dunk","Lahore Qalandars",NA,"37"
"Mohammad Wasim",2021-06-19,"Multan Sultans","Islamabad United",1,"4.0",0,31,4,7.75,11,"Pakistan Super League","2021",1247040,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Multan Sultans","Islamabad United","Islamabad United","field","Mohammad Wasim","Islamabad United","4",NA
"Shaheen Shah Afridi",2023-03-07,"Peshawar Zalmi","Lahore Qalandars",1,"4.0",0,31,4,7.75,12,"Pakistan Super League","2022/23",1354946,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Lahore Qalandars","Peshawar Zalmi","bat","Saim Ayub","Peshawar Zalmi",NA,"35"
"Shahnawaz Dhani",2021-06-13,"Peshawar Zalmi","Multan Sultans",1,"4.0",0,31,4,7.75,13,"Pakistan Super League","2021",1247031,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","Multan Sultans","Multan Sultans","field","Shahnawaz Dhani","Multan Sultans","8",NA
"Mohammad Hasnain",2020-03-05,"Peshawar Zalmi","Quetta Gladiators",1,"3.0",0,34,4,11.3333333333333,7,"Pakistan Super League","2019/20",1211659,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Quetta Gladiators","Quetta Gladiators","field","Shoaib Malik","Peshawar Zalmi",NA,"30"
"SR Patel",2018-03-09,"Peshawar Zalmi","Islamabad United",2,"4.0",0,34,4,8.5,10,"Pakistan Super League","2017/18",1128838,"Dubai International Cricket Stadium","Dubai","Peshawar Zalmi","Islamabad United","Peshawar Zalmi","field","JP Duminy","Islamabad United",NA,"26"
"Khushdil Shah",2022-02-01,"Islamabad United","Multan Sultans",2,"4.0",0,35,4,8.75,9,"Pakistan Super League","2021/22",1293007,"National Stadium, Karachi","Karachi","Multan Sultans","Islamabad United","Islamabad United","field","TH David","Multan Sultans",NA,"20"
"Waqas Maqsood",2022-02-05,"Lahore Qalandars","Islamabad United",1,"4.0",0,35,4,8.75,7,"Pakistan Super League","2021/22",1293011,"National Stadium, Karachi","Karachi","Lahore Qalandars","Islamabad United","Islamabad United","field","Zaman Khan","Lahore Qalandars",NA,"8"
"Zaman Khan",2024-03-06,"Islamabad United","Lahore Qalandars",2,"3.5",0,37,4,9.65217391304348,10,"Pakistan Super League","2023/24",1416494,"Rawalpindi Cricket Stadium","Rawalpindi","Lahore Qalandars","Islamabad United","Islamabad United","field","HE van der Dussen","Lahore Qalandars",NA,"17"
"Abbas Afridi",2023-03-10,"Peshawar Zalmi","Multan Sultans",1,"4.0",0,39,4,9.75,9,"Pakistan Super League","2022/23",1354950,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Multan Sultans","Peshawar Zalmi","bat","RR Rossouw","Multan Sultans","4",NA
"Ehsan Adil",2016-02-16,"Quetta Gladiators","Lahore Qalandars",2,"4.0",0,39,4,9.75,11,"Pakistan Super League","2015/16",959209,"Dubai International Cricket Stadium",NA,"Lahore Qalandars","Quetta Gladiators","Quetta Gladiators","field","Bismillah Khan","Quetta Gladiators","2",NA
"SR Watson",2017-02-09,"Peshawar Zalmi","Islamabad United",1,"4.0",0,44,4,11,7,"Pakistan Super League","2016/17",1075986,"Dubai International Cricket Stadium",NA,"Islamabad United","Peshawar Zalmi","Islamabad United","field","BJ Haddin","Islamabad United","7",NA
"Shaheen Shah Afridi",2023-03-18,"Multan Sultans","Lahore Qalandars",2,"4.0",0,51,4,12.75,8,"Pakistan Super League","2022/23",1354957,"Gaddafi Stadium, Lahore","Lahore","Lahore Qalandars","Multan Sultans","Lahore Qalandars","bat","Shaheen Shah Afridi","Lahore Qalandars",NA,"1"
"Imran Tahir",2021-06-16,"Quetta Gladiators","Multan Sultans",2,"2.0",1,7,3,3.5,8,"Pakistan Super League","2021",1247035,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Multan Sultans","Quetta Gladiators","Quetta Gladiators","field","Shan Masood","Multan Sultans",NA,"110"
"Mohammad Amir",2017-03-01,"Islamabad United","Karachi Kings",2,"2.2",0,7,3,3,11,"Pakistan Super League","2016/17",1076007,"Sharjah Cricket Stadium","Sharjah","Karachi Kings","Islamabad United","Islamabad United","field","Imad Wasim","Karachi Kings",NA,"44"
"Faheem Ashraf",2021-03-02,"Quetta Gladiators","Islamabad United",1,"4.0",0,11,3,2.75,14,"Pakistan Super League","2020/21",1247022,"National Stadium","Karachi","Quetta Gladiators","Islamabad United","Islamabad United","field","Faheem Ashraf","Islamabad United","6",NA
"Usman Shinwari",2018-03-15,"Peshawar Zalmi","Karachi Kings",1,"4.0",0,11,3,2.75,16,"Pakistan Super League","2017/18",1128844,"Sharjah Cricket Stadium","Sharjah","Peshawar Zalmi","Karachi Kings","Peshawar Zalmi","bat","Kamran Akmal","Peshawar Zalmi",NA,"44"
"Imad Wasim",2024-03-15,"Quetta Gladiators","Islamabad United",2,"4.0",0,12,3,3,16,"Pakistan Super League","2023/24",1416503,"National Stadium, Karachi","Karachi","Islamabad United","Quetta Gladiators","Islamabad United","bat","Imad Wasim","Islamabad United",NA,"39"
"S Mahmood",2021-02-27,"Islamabad United","Peshawar Zalmi",1,"2.1",0,12,3,5.53846153846154,5,"Pakistan Super League","2020/21",1247020,"National Stadium","Karachi","Islamabad United","Peshawar Zalmi","Peshawar Zalmi","field","Wahab Riaz","Peshawar Zalmi","6",NA
"Khurram Shahzad",2023-03-12,"Islamabad United","Peshawar Zalmi",2,"1.4",0,13,3,7.8,7,"Pakistan Super League","2022/23",1354952,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Islamabad United","Islamabad United","field","Mohammad Haris","Peshawar Zalmi",NA,"13"
"Mohammad Hasnain",2023-02-20,"Peshawar Zalmi","Quetta Gladiators",2,"4.0",1,13,3,3.25,17,"Pakistan Super League","2022/23",1354932,"National Stadium, Karachi","Karachi","Quetta Gladiators","Peshawar Zalmi","Peshawar Zalmi","field","JDS Neesham","Peshawar Zalmi","4",NA
"Shadab Khan",2017-02-26,"Karachi Kings","Islamabad United",2,"3.0",0,13,3,4.33333333333333,11,"Pakistan Super League","2016/17",1076005,"Dubai International Cricket Stadium",NA,"Islamabad United","Karachi Kings","Karachi Kings","field","CH Gayle","Karachi Kings","6",NA
"Abrar Ahmed",2021-06-15,"Karachi Kings","Peshawar Zalmi",1,"4.0",0,14,3,3.5,15,"Pakistan Super League","2021",1247034,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Karachi Kings","Peshawar Zalmi","Peshawar Zalmi","field","Hazratullah","Peshawar Zalmi","6",NA
"Khurram Shahzad",2021-06-15,"Lahore Qalandars","Quetta Gladiators",2,"3.0",0,14,3,4.66666666666667,8,"Pakistan Super League","2021",1247033,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Quetta Gladiators","Lahore Qalandars","Lahore Qalandars","field","Usman Shinwari","Quetta Gladiators",NA,"18"
"Rumman Raees",2018-02-25,"Multan Sultans","Islamabad United",1,"3.5",0,14,3,3.65217391304348,12,"Pakistan Super League","2017/18",1128823,"Dubai International Cricket Stadium","Dubai","Multan Sultans","Islamabad United","Islamabad United","field","Hussain Talat","Islamabad United","5",NA
"Shaheen Shah Afridi",2021-02-21,"Peshawar Zalmi","Lahore Qalandars",1,"4.0",1,14,3,3.5,16,"Pakistan Super League","2020/21",1247012,"National Stadium","Karachi","Peshawar Zalmi","Lahore Qalandars","Lahore Qalandars","field","Shaheen Shah Afridi","Lahore Qalandars","4",NA
"Sohail Tanvir",2018-03-03,"Quetta Gladiators","Multan Sultans",1,"3.0",0,14,3,4.66666666666667,12,"Pakistan Super League","2017/18",1128830,"Sharjah Cricket Stadium","Sharjah","Multan Sultans","Quetta Gladiators","Multan Sultans","field","Sohail Tanvir","Multan Sultans","9",NA
"Sohail Tanvir",2018-03-06,"Peshawar Zalmi","Multan Sultans",2,"4.0",0,14,3,3.5,16,"Pakistan Super League","2017/18",1128833,"Dubai International Cricket Stadium","Dubai","Peshawar Zalmi","Multan Sultans","Peshawar Zalmi","field","Sohaib Maqsood","Multan Sultans",NA,"19"
"Fawad Ahmed",2019-02-17,"Islamabad United","Quetta Gladiators",1,"4.0",0,15,3,3.75,12,"Pakistan Super League","2018/19",1168825,"Dubai International Cricket Stadium","Dubai","Islamabad United","Quetta Gladiators","Quetta Gladiators","field","SR Watson","Quetta Gladiators","7",NA
"Hasan Ali",2019-03-11,"Karachi Kings","Peshawar Zalmi",2,"3.2",0,15,3,4.5,11,"Pakistan Super League","2018/19",1168846,"National Stadium","Karachi","Karachi Kings","Peshawar Zalmi","Karachi Kings","field","Kamran Akmal","Peshawar Zalmi",NA,"61"
"Rashid Khan",2023-03-04,"Multan Sultans","Lahore Qalandars",2,"4.0",0,15,3,3.75,9,"Pakistan Super League","2022/23",1354943,"Gaddafi Stadium, Lahore","Lahore","Lahore Qalandars","Multan Sultans","Lahore Qalandars","bat","Rashid Khan","Lahore Qalandars",NA,"21"
"Arshad Iqbal",2021-02-20,"Quetta Gladiators","Karachi Kings",1,"4.0",1,16,3,4,16,"Pakistan Super League","2020/21",1247011,"National Stadium","Karachi","Quetta Gladiators","Karachi Kings","Karachi Kings","field","Arshad Iqbal","Karachi Kings","7",NA
"Imad Wasim",2023-02-18,"Quetta Gladiators","Karachi Kings",1,"4.0",1,16,3,4,11,"Pakistan Super League","2022/23",1354929,"National Stadium, Karachi","Karachi","Quetta Gladiators","Karachi Kings","Karachi Kings","field","MJ Guptill","Quetta Gladiators",NA,"6"
"Imran Tahir",2022-01-27,"Karachi Kings","Multan Sultans",1,"4.0",0,16,3,4,8,"Pakistan Super League","2021/22",1293000,"National Stadium, Karachi","Karachi","Karachi Kings","Multan Sultans","Multan Sultans","field","Imran Tahir","Multan Sultans","7",NA
"Khushdil Shah",2022-01-31,"Quetta Gladiators","Multan Sultans",2,"4.0",0,16,3,4,14,"Pakistan Super League","2021/22",1293006,"National Stadium, Karachi","Karachi","Multan Sultans","Quetta Gladiators","Quetta Gladiators","field","Shan Masood","Multan Sultans",NA,"6"
